No,RelDate,MovieName,ReleaseTime,Genre,Budget,BoxOfficeCollection,YoutubeViews,YoutubeLikes,YoutubeDislikes,YoutubeLikeDislikes
1,Apr-18-2014,2 States,3,RomanceGenre,36Cr,104,8576361,26622,2527,29149
2,Jan-4-2013,Table No. 21,4,Thriller ,Cr10,12,1087320,1129,137,1266
3,Jul-18-2014,Amit Sahni Ki List,4,ComedyGenre,10Cr,4,572336,586,54,640
4,Jan-4-2013,Rajdhani Express,4, DramaGenre,7Cr,383,42626,86,19,105
5,Jul-4-2014,Bobby Jasoos,44,ComedyGenre,18Cr,10.8,3113427,4512,1224,5736
6,May-30-2014,Citylights,2, DramaGenre,7Cr,35,1076591,1806,84,1890
7,Sqp-19-2014,Daawat-E-Ishq,4,ComedyGenre,30Cr,24.6,3905050,8315,1373,9688
8,Jan-11-2013,Matru Ki Bijlee Ka Mandola,4,ComedyGenre,33Cr,40,2435283,4326,647,4973
9,Jan-10-2014,Dedh Ishqiya,3,ComedyGenre,31Cr,27,2333067,2436,591,3027
10,Jan-11-2013,Gangoobai,4, DramaGenre,2Cr,Cr0.01,4354,1,,2
11,Mar-28-2014,Dishkiyaoon,4,ActionGenre,28Cr,6,2397647,3308,465,3773
12,Jan-18-2013,Inkaar,4,RomanceGenre,5Cr,10.25,1077723,897,114,1011
13,Jum-27-2014,Ek Villain,2,RomanceGenre,35Cr,105.5,4518748,13558,1094,14652
14,Jan-18-2013,Mumbai Mirror,4,Action ,4Cr,1.8,235767,192,164,356
15,Aug-8-2014,Entertainment,4,ComedyGenre,60Cr,163,6336058,20472,2843,23315
16,Jan-18-2013,Bandook,4,ActionGenre,4Cr,Cr0.09,28391,8,14,22
17,Jan-25-2013,Race 2,3,Thriller ,Cr60,162,7641333,12617,2138,14755
18,juu-6-2014,Filmistaan,2,ComedyGenre,10Cr,6,989096,1608,173,1781
19,Sep-12-2014,Finding Fanny,4,ComedyGenre,15Cr,58.9,6144142,13013,2746,15759
20,Jun-13-2014,Fugly,2,ComedyGenre,10Cr,12.6,2343109,2963,556,3519
21,Feb-1-2013,David,4,Thriller ,Cr10,3.65,839270,1542,95,1637
22,Mar-7-2014,Gulaab Gang,4,ActionGenre,27Cr,14.3,4687259,13219,1605,14824
23,Feb-14-2014,Gunday,4,ActionGenre,50Cr,76.7,3503887,8383,1419,9802
24,Oct-2-2014,Haider,1, DramaGenre,24Cr,69,7048104,23590,2443,26033
25,Nov-21-2014,Happy Ending,4,RomanceGenre,48Cr,21.5,5192338,6928,1120,8048
26,Feb-8-2013,Special 26,4, DramaGenre,42Cr,103,1829417,6248,568,6816
27,Oct-24-2014,Happy New Year,3, DramaGenre,125Cr,383,6395202,37585,10269,47854
28,Feb-8-2013,ABCD _ Any Body Can Dance,4, DramaGenre,12Cr,44,4042091,10609,788,11397
29,Jul-18-2014,Hate Story 2,4,Thriller,12Cr,27.16,13798789,15708,5226,20934
30,May-9-2014,Hawaa Hawaai,2, DramaGenre,11Cr,10,764725,1377,94,1471
31,Feb-7-2014,Heartless,4,Thriller,12Cr,1.5,4823892,5797,227,6024
32,Feb-15-2013,Murder 3,1,Thriller,12Cr,25,2249055,1879,,2626
33,May-23-2014,Heropanti,2,RomanceGenre,21Cr,65,4005695,8189,1814,10003
34,Feb-22-2013,Kai Po Che!,4, DramaGenre,30Cr,62.2,1888754,5686,512,6198
35,Feb-21-204,Highway,4, Drama ,30Cr,27.25,3043012,9100,971,10071
36,Feb-22-2013,Zilla Ghaziabad,4,ActionGenre,36Cr,16,1551786,1753,619,2372
37,Jun-6-2014,Holiday,2,ActionGenre,50Cr,129,6841635,14182,1997,16179
38,Jul-11-2014,Humpty Sharma Ki Dulhania,4,RomanceGenre,20Cr,130,6604595,14535,2208,16743
39,Mar-1-2013,The Attacks of 26/11,4,Thriller,Cr30,32,1041892,1911,344,2255
40,Jun-20-2014,Humshakals,2,ComedyGenre,75Cr,63.7,6280868,,1,2
41,Mar-8-2013,"Saheb, Biwi Aur Gangster Returns",1, DramaGenre,15Cr,22,1176596,1037,189,1226
42,Jan-24-2014,Jai Ho,4,ActionGenre,120Cr,111,868743,2783,404,3187
43,Sep-19-2014,Khoobsurat,4,RomanceGenre,12Cr,39.4,5454349,12548,2038,14586
44,Jul-25-2014,Kick,4,ActionGenre,100Cr,377,18986221,101275,10066,111341
45,Mar-15-2013,3G,4,Thriller,Cr5,5.82,1200152,1385,345,1730
46,Nov-14-2014,Kill Dil,4,RomanceGenre,35Cr,36,2375050,4358,555,4913
47,Mar-15-2013,Mere Dad Ki Maruti,4,ComedyGenre,5Cr,11,569711,1226,,1359
48,Mar-15-2013,Jolly LLB,4,ComedyGenre,10Cr,32.7,1741424,3024,181,3205
49,May-09-2014,Koyelaanchal,2,ActionGenre,8Cr,2,591838,347,31,378
50,May-2-2014,Kya Dilli Kya Lahore,2, DramaGenre,7Cr,Cr0.5,492344,2018,64,2082
51,Jul-7-2014,Lekar Hum Deewana Dil,4,RomanceGenre,16Cr,2.5,3998331,2307,497,2804
